Move,Type,Category,Power Points,Base Power,Accuracy,Effects,Critical Rate,Speed Priority
Absorb,grass,special,25,20,100,User recovers half the damage inflicted.,0.0417,0
Acid Armor,poison,other,20,0,101,Raises user's Defense two stages.,0.0,0
Acid Spray,poison,special,20,40,100,Lowers opponent's Special Defense two stages.,0.0417,0
Acrobatics,flying,physical,15,55,100,Increases damage by 100% if user is not holding an item.,0.0417,0
Acupressure,normal,other,30,0,101,Raises one of the user's stats randomly by two stages.,0.0,0
Aerial Ace,flying,physical,20,60,101,Cannot miss.,0.0417,0
After You,normal,other,15,0,101,Target moves immediately after the user,0.0,0
Agility,psychic,other,30,0,101,Raises user's Speed two stages.,0.0,0
Air Cutter,flying,special,25,60,95,Has an increased Critical Hit ratio,0.125,0
Air Slash,flying,special,15,75,95,May cause opponent to flinch.,0.0417,0
Ally Switch,psychic,other,15,0,101,Switches place with other Pokémon on field,0.0,2
Amnesia,psychic,other,20,0,101,Raises user's Special Defense two stages.,0.0,0
Ancient Power,rock,special,5,60,100,May raise all user's stats one stage.,0.0417,0
Aqua Cutter,water,physical,20,70,100,No effect.,0.125,0
Aqua Jet,water,physical,20,40,100,Has increased Speed Priority,0.0417,1
Aqua Step,water,physical,10,80,100,Raises user's Speed one stage.,0.0417,0
Aqua Tail,water,physical,10,90,90,No effect.,0.0417,0
Arm Thrust,fighting,physical,20,15,100,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,0.0417,0
Armor Cannon,fire,special,5,120,100,Lowers user's Defense & Special Defense stats by one stage.,0.0417,0
Assurance,dark,physical,10,60,100,Doubles damage if target has already received damage this turn.,0.0417,0
Astonish,ghost,physical,15,30,100,May cause opponent to flinch.,0.0417,0
Aura Sphere,fighting,special,20,80,101,Cannot miss.,0.0417,0
Aurora Veil,ice,other,20,0,101,"This move will put up a protective barrier that will reduce the damage inflicted by attacks by 50% in Single Battles, and 33% in Double Battles. It can run in conjunction with Reflect and Light Screen but does not stack. It can only be activated during Hail, but will continue if Hail ends during its time. The ability Infiltrator ignores its effects",0.0,0
Avalanche,ice,physical,10,60,100,Power doubles if user was hit before using the Attack.,0.0417,-4
Axe Kick,fighting,physical,10,120,90,"May confuse the opponent. If the move misses, the user takes 25% damage",0.0417,0
Baby-Doll Eyes,fairy,other,30,0,100,Lowers opponent's Attack stat one stage,0.0,1
Baton Pass,normal,other,40,0,101,Switches out the user but stat changes remain.,0.0,0
Beat Up,dark,physical,10,1,100,Does additional damage for every Pokémon in trainer's team.,0.0417,0
Belch,poison,special,10,120,90,Consumes a Berry,0.0417,0
Belly Drum,normal,other,10,0,101,Cut's half of user's maximum HP and maximizes Attack.,0.0,0
Bite,dark,physical,25,60,100,May cause opponent to flinch.,0.0417,0
Bitter Blade,fire,physical,10,90,100,User recovers half the damage inflicted.,0.0417,0
Blast Burn,fire,special,5,150,90,User cannot Attack on the next turn.,0.0417,0
Blizzard,ice,special,5,110,70,May Freeze opponent.,0.0417,0
Block,normal,other,5,0,101,Prevents the opponent from escaping.,0.0,0
Body Press,fighting,physical,10,80,100,Users the user's Defense stat in damage calculation rather than Attack stat,0.0417,0
Body Slam,normal,physical,15,85,100,May induce paralysis.,0.0417,0
Boomburst,normal,special,10,140,100,No effect.,0.0417,0
Bounce,flying,physical,5,85,85,"The user is protected the first turn, Attacks the second turn. May induce Paralysis",0.0417,0
Brave Bird,flying,physical,15,120,100,User takes recoil damage equal to a third of the damage inflicted.,0.0417,0
Breaking Swipe,dragon,physical,15,60,100,Lowers all opponent's Attack one stage,0.0417,0
